Name,MRP,Rate,Discount,Ratings,Packing
Organic Harvest Object Disinfectant with Alcohol and Lavender,125.0,125.0,0.0,,pump bottle of 100 ml Liquid
Chicco Sterlizer 3 in 1 and Multi-Purpose Disinfectant 1000ml,4478.0,4478.0,0.0,,box of 1 Combo Pack
UE Swatchh Multi Purpose Disinfectant,420.0,359.0,14.0,,bottle of 500 ml Liquid
Bioayurveda Multipurpose Liquid Sanitizer,250.0,250.0,0.0,,pump bottle of 500 ml Sanitizer
Germisol Phenol,390.0,390.0,0.0,,bottle of 5 Ltr Liquid
Organic Harvest Object Disinfectant with Alcohol and Orange,395.0,395.0,0.0,,pump bottle of 500 ml Liquid
SemcoCare+ Kleron Hydrogen Peroxide Cleaner Disinfectant,700.0,700.0,0.0,,pump bottle of 1 Ltr Liquid
Chicco Multi-Purpose Disinfectant,249.0,249.0,0.0,,pump bottle of 500 ml Liquid
Organic Harvest Object Disinfectant with Alcohol and Lavender,395.0,395.0,0.0,,pump bottle of 500 ml Liquid
Chicco Multi-Purpose Disinfectant,399.0,399.0,0.0,,pump bottle of 1000 ml Liquid
UE Swatchh Multi Purpose Disinfectant,672.0,672.0,0.0,,bottle of 1 Ltr Liquid
Vitro Naturals Hand Disinfectant,80.0,80.0,0.0,,bottle of 100 ml Liquid
Organic Harvest Object Disinfectant with Alcohol and Orange,125.0,125.0,0.0,,pump bottle of 100 ml Liquid
Vitro Naturals Hand Disinfectant,40.0,40.0,0.0,,bottle of 50 ml Liquid
Dsnft Surface Disinfectant Spray,189.0,189.0,0.0,,bottle of 170 gm Spray
Suthol Chandan Antiseptic Skin Liquid Spray,75.0,75.0,0.0,,bottle of 100 ml Spray
Suthol Chandan Plus Antiseptic Skin Liquid Spray,75.0,75.0,0.0,4.5,bottle of 100 ml Spray
Savlon Antiseptic Liquid,24.0,24.0,0.0,4.5,bottle of 50 ml Liquid
Savlon Antiseptic Liquid,77.0,77.0,0.0,4.5,bottle of 200 ml Liquid
Nicholas Germurder Antiseptic Liquid,37.0,37.0,0.0,,bottle of 100 ml Liquid
Diversey Oxivir Tb Wipes White,5867.0,5867.0,0.0,,jar of 160 wipes
Suthol Antiseptic Skin Liquid Fresh,46.0,46.0,0.0,3.7,bottle of 100 ml Liquid
Suthol Antiseptic Skin Liquid,40.0,40.0,0.0,4.4,bottle of 100 ml Liquid
Benzyl Septol Active Antiseptic Liquid,39.0,39.0,0.0,,bottle of 100 ml Liquid
Savlon Antiseptic Liquid,44.0,44.0,0.0,4.5,bottle of 100 ml Liquid
Nicholas Germurder Antiseptic Liquid,270.0,270.0,0.0,,bottle of 1000 ml Liquid
SterloMax I Rub-In-Hand Disinfectant & Sanitizer,250.0,250.0,0.0,,bottle of 500 ml Sanitizer
Safelon Antiseptic Liquid,35.0,35.0,0.0,,bottle of 100 ml Liquid
